PROCESSNAME,REFERENCEFLOW,LOCATION,CATEGORY,CATEGORY2,CATEGORY3,CATEGORY4,CATEGORY5
MSW source reduction of Newspaper,"Newspaper, source reduced",United States,Source reduction,NULL,NULL,NULL,NULL
MSW source reduction of Corrugated Containers,"Corrugated Containers, source reduced",United States,Source reduction,NULL,NULL,NULL,NULL
MSW source reduction of Dairy Products,"Dairy Products, source reduced",United States,Source reduction,NULL,NULL,NULL,NULL
MSW source reduction of Personal Computers,"Personal Computers, source reduced",United States,Source reduction,NULL,NULL,NULL,NULL
MSW source reduction of Asphalt Shingles,"Asphalt Shingles, source reduced",United States,Source reduction,NULL,NULL,NULL,NULL
MSW source reduction of Vinyl Flooring,"Vinyl Flooring, source reduced",United States,Source reduction,NULL,NULL,NULL,NULL
MSW source reduction of Wood Flooring,"Wood Flooring, source reduced",United States,Source reduction,NULL,NULL,NULL,NULL
MSW source reduction of Office Paper,"Office Paper, source reduced",United States,Source reduction,NULL,NULL,NULL,NULL
MSW source reduction of Fiberglass Insulation,"Fiberglass Insulation, source reduced",United States,Source reduction,NULL,NULL,NULL,NULL
MSW source reduction of Dimensional Lumber,"Dimensional Lumber, source reduced",United States,Source reduction,NULL,NULL,NULL,NULL
MSW source reduction of LDPE,"LDPE, source reduced",United States,Source reduction,NULL,NULL,NULL,NULL
"Clay Bricks, alternative scenario","Clay Bricks, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Personal Computers, baseline scenario","Personal Computers, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Asphalt Shingles, alternative scenario","Asphalt Shingles, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Tires, baseline scenario","Tires, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Asphalt Concrete, alternative scenario","Asphalt Concrete, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Fiberglass Insulation, baseline scenario","Fiberglass Insulation, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Medium-density Fiberboard, alternative scenario","Medium-density Fiberboard, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Phonebooks, alternative scenario","Phonebooks, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Fruits and Vegetables, alternative scenario","Fruits and Vegetables, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Copper Wire, baseline scenario","Copper Wire, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Newspaper, alternative scenario","Newspaper, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Vinyl Flooring, alternative scenario","Vinyl Flooring, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Asphalt Concrete, baseline scenario","Asphalt Concrete, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Bread, alternative scenario","Bread, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Copper Wire, alternative scenario","Copper Wire, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"PLA, baseline scenario","PLA, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Medium-density Fiberboard, baseline scenario","Medium-density Fiberboard, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Fly Ash, alternative scenario","Fly Ash, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Grass, alternative scenario","Grass, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"PVC, alternative scenario","PVC, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"PVC, baseline scenario","PVC, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Personal Computers, alternative scenario","Personal Computers, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Office Paper, alternative scenario","Office Paper, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Food Waste (non-meat), alternative scenario","Food Waste (non-meat), alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Vinyl Flooring, baseline scenario","Vinyl Flooring, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Glass, baseline scenario","Glass, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"PS, alternative scenario","PS, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Drywall, alternative scenario","Drywall, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Fly Ash, baseline scenario","Fly Ash, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Dimensional Lumber, alternative scenario","Dimensional Lumber, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Mixed Paper (primarily residential), alternative scenario","Mixed Paper (primarily residential), alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Carpet, alternative scenario","Carpet, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"LLDPE, alternative scenario","LLDPE, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Corrugated Containers, alternative scenario","Corrugated Containers, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Grains, alternative scenario","Grains, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"PET, baseline scenario","PET, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Mixed Plastics, alternative scenario","Mixed Plastics, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Mixed Paper (general), baseline scenario","Mixed Paper (general), baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Food Waste (non-meat), baseline scenario","Food Waste (non-meat), baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Textbooks, alternative scenario","Textbooks, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Mixed Metals, baseline scenario","Mixed Metals, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Glass, alternative scenario","Glass, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Steel Cans, baseline scenario","Steel Cans, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Clay Bricks, baseline scenario","Clay Bricks, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Mixed Organics, alternative scenario","Mixed Organics, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Wood Flooring, alternative scenario","Wood Flooring, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Aluminum Cans, baseline scenario","Aluminum Cans, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Leaves, baseline scenario","Leaves, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Mixed MSW, alternative scenario","Mixed MSW, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Yard Trimmings, baseline scenario","Yard Trimmings, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Office Paper, baseline scenario","Office Paper, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Steel Cans, alternative scenario","Steel Cans, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Branches, alternative scenario","Branches, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Magazines Third-class Mail, alternative scenario","Magazines Third-class Mail, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"HDPE, alternative scenario","HDPE, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Grass, baseline scenario","Grass, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"PS, baseline scenario","PS, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"PET, alternative scenario","PET, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Mixed Recyclables, baseline scenario","Mixed Recyclables, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Fiberglass Insulation, alternative scenario","Fiberglass Insulation, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Dairy Products, alternative scenario","Dairy Products, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Corrugated Containers, baseline scenario","Corrugated Containers, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Aluminum Cans, alternative scenario","Aluminum Cans, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Concrete, baseline scenario","Concrete, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Carpet, baseline scenario","Carpet, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"PP, baseline scenario","PP, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"PLA, alternative scenario","PLA, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Branches, baseline scenario","Branches, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Mixed Recyclables, alternative scenario","Mixed Recyclables, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"LLDPE, baseline scenario","LLDPE, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Asphalt Shingles, baseline scenario","Asphalt Shingles, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Tires, alternative scenario","Tires, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Aluminum Ingot, baseline scenario","Aluminum Ingot, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"HDPE, baseline scenario","HDPE, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Textbooks, baseline scenario","Textbooks, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Dimensional Lumber, baseline scenario","Dimensional Lumber, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Mixed Plastics, baseline scenario","Mixed Plastics, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Yard Trimmings, alternative scenario","Yard Trimmings, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Leaves, alternative scenario","Leaves, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Aluminum Ingot, alternative scenario","Aluminum Ingot, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Grains, baseline scenario","Grains, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Newspaper, baseline scenario","Newspaper, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Mixed Paper (general), alternative scenario","Mixed Paper (general), alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Wood Flooring, baseline scenario","Wood Flooring, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Dairy Products, baseline scenario","Dairy Products, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Mixed MSW, baseline scenario","Mixed MSW, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Magazines Third-class Mail, baseline scenario","Magazines Third-class Mail, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Mixed Paper (primarily from offices), baseline scenario","Mixed Paper (primarily from offices), baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Drywall, baseline scenario","Drywall, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Bread, baseline scenario","Bread, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"PP, alternative scenario","PP, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"LDPE, baseline scenario","LDPE, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Phonebooks, baseline scenario","Phonebooks, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"LDPE, alternative scenario","LDPE, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Concrete, alternative scenario","Concrete, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Mixed Metals, alternative scenario","Mixed Metals, alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
"Mixed Paper (primarily residential), baseline scenario","Mixed Paper (primarily residential), baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Fruits and Vegetables, baseline scenario","Fruits and Vegetables, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Mixed Organics, baseline scenario","Mixed Organics, baseline scenario",NULL,Baseline scenario,Materials,NULL,NULL,NULL
"Mixed Paper (primarily from offices), alternative scenario","Mixed Paper (primarily from offices), alternative scenario",NULL,Alternative scenario,Materials,NULL,NULL,NULL
Alternative scenario,Alternative scenario,NULL,NULL,NULL,NULL,NULL,NULL
Baseline scenario,Baseline scenario,NULL,NULL,NULL,NULL,NULL,NULL
Steel recycling,"Steel, recycled",United States,Recycling,NULL,NULL,NULL,NULL
Steel recycling (from combustion of Tires),"Steel, recycled",United States,Recycling,NULL,NULL,NULL,NULL
MSW combustion of Tires (Energy),"Tires, combusted",NULL,Combustion,NULL,NULL,NULL,NULL
MSW recycling of Asphalt Shingles (Energy),"Asphalt Shingles, recycled",United States,Recycling,NULL,NULL,NULL,NULL
MSW recycling of Drywall (Energy),"Drywall, recycled",United States,Recycling,NULL,NULL,NULL,NULL
"MSW landfilling of Mixed Recyclables; LFG recovery and flaring, typical collection, bioreactor (k=0.12)","Mixed Recyclables, landfilled",United States,Bioreactor (k=0.12),Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Mixed Paper (primarily residential); LFG recovery and flaring, worst-case collection, moderate conditions (k=0.04)","Mixed Paper (primarily residential), landfilled",United States,Moderate conditions (k=0.04),Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Mixed Paper (primarily residential); LFG recovery and electricity generation, California regulatory collection, dry conditions (k=0.02)","Mixed Paper (primarily residential), landfilled",United States,Dry conditions (k=0.02),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Mixed Paper (primarily from offices); LFG recovery and flaring, worst-case collection, moderate conditions (k=0.04)","Mixed Paper (primarily from offices), landfilled",United States,Moderate conditions (k=0.04),Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Mixed Paper (primarily from offices); LFG recovery and electricity generation, typical collection, dry conditions (k=0.02)","Mixed Paper (primarily from offices), landfilled",United States,Dry conditions (k=0.02),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Mixed Paper (primarily from offices); LFG recovery and electricity generation, aggressive collection, dry conditions (k=0.02)","Mixed Paper (primarily from offices), landfilled",United States,Dry conditions (k=0.02),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Mixed Organics; LFG recovery and flaring, worst-case collection, moderate conditions (k=0.04)","Mixed Organics, landfilled",United States,Moderate conditions (k=0.04),Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Mixed Paper (general); LFG recovery and flaring, typical collection, National average conditions","Mixed Paper (general), landfilled",United States,National Average,Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Mixed Organics; LFG recovery and electricity generation, worst-case collection, bioreactor (k=0.12)","Mixed Organics, landfilled",United States,Bioreactor (k=0.12),Worst-case collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Mixed Organics; LFG recovery and flaring, worst-case collection, dry conditions (k=0.02)","Mixed Organics, landfilled",United States,Dry conditions (k=0.02),Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Mixed Paper (primarily from offices); National average LFG recovery, typical collection, dry conditions (k=0.02)","Mixed Paper (primarily from offices), landfilled",United States,Dry conditions (k=0.02),Typical operation,National Average LFG recovery,Landfilling,NULL
"MSW landfilling of Mixed Paper (primarily residential); LFG recovery and flaring, aggressive collection, bioreactor (k=0.12)","Mixed Paper (primarily residential), landfilled",United States,Bioreactor (k=0.12),Aggressive collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Mixed Organics; LFG recovery and electricity generation, aggressive collection, dry conditions (k=0.02)","Mixed Organics, landfilled",United States,Dry conditions (k=0.02),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Mixed Paper (primarily residential); LFG recovery and flaring, aggressive collection, moderate conditions (k=0.04)","Mixed Paper (primarily residential), landfilled",United States,Moderate conditions (k=0.04),Aggressive collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Mixed Paper (primarily residential); National average LFG recovery, typical collection, bioreactor (k=0.12)","Mixed Paper (primarily residential), landfilled",United States,Bioreactor (k=0.12),Typical operation,National Average LFG recovery,Landfilling,NULL
"MSW landfilling of Mixed Paper (general); LFG recovery and flaring, California regulatory collection, bioreactor (k=0.12)","Mixed Paper (general), landfilled",United States,Bioreactor (k=0.12),California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Mixed Recyclables; LFG recovery and flaring, worst-case collection, dry conditions (k=0.02)","Mixed Recyclables, landfilled",United States,Dry conditions (k=0.02),Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Mixed Paper (general); LFG recovery and electricity generation, California regulatory collection, National average conditions","Mixed Paper (general), landfilled",United States,National Average,California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Mixed Organics; LFG recovery and flaring, aggressive collection, dry conditions (k=0.02)","Mixed Organics, landfilled",United States,Dry conditions (k=0.02),Aggressive collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Mixed Paper (primarily from offices); National average LFG recovery, typical collection, moderate conditions (k=0.04)","Mixed Paper (primarily from offices), landfilled",United States,Moderate conditions (k=0.04),Typical operation,National Average LFG recovery,Landfilling,NULL
"MSW landfilling of Mixed Organics; LFG recovery and electricity generation, California regulatory collection, bioreactor (k=0.12)","Mixed Organics, landfilled",United States,Bioreactor (k=0.12),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Mixed Paper (general); LFG recovery and electricity generation, typical collection, bioreactor (k=0.12)","Mixed Paper (general), landfilled",United States,Bioreactor (k=0.12),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Mixed Paper (primarily from offices); LFG recovery and electricity generation, California regulatory collection, bioreactor (k=0.12)","Mixed Paper (primarily from offices), landfilled",United States,Bioreactor (k=0.12),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Mixed Recyclables; LFG recovery and flaring, aggressive collection, bioreactor (k=0.12)","Mixed Recyclables, landfilled",United States,Bioreactor (k=0.12),Aggressive collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Mixed Organics; LFG recovery and flaring, worst-case collection, National average conditions","Mixed Organics, landfilled",United States,National Average,Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Mixed Paper (general); LFG recovery and flaring, typical collection, dry conditions (k=0.02)","Mixed Paper (general), landfilled",United States,Dry conditions (k=0.02),Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Mixed Recyclables; LFG recovery and flaring, aggressive collection, dry conditions (k=0.02)","Mixed Recyclables, landfilled",United States,Dry conditions (k=0.02),Aggressive collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Mixed Paper (primarily residential); LFG recovery and flaring, California regulatory collection, moderate conditions (k=0.04)","Mixed Paper (primarily residential), landfilled",United States,Moderate conditions (k=0.04),California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Mixed Organics; LFG recovery and electricity generation, worst-case collection, dry conditions (k=0.02)","Mixed Organics, landfilled",United States,Dry conditions (k=0.02),Worst-case collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Mixed Paper (primarily from offices); LFG recovery and flaring, typical collection, National average conditions","Mixed Paper (primarily from offices), landfilled",United States,National Average,Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Mixed Paper (primarily from offices); LFG recovery and flaring, worst-case collection, wet conditions (k=0.06)","Mixed Paper (primarily from offices), landfilled",United States,Wet conditions (k=0.06),Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Mixed Organics; LFG recovery and electricity generation, aggressive collection, moderate conditions (k=0.04)","Mixed Organics, landfilled",United States,Moderate conditions (k=0.04),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Mixed Recyclables; LFG recovery and flaring, typical collection, National average conditions","Mixed Recyclables, landfilled",United States,National Average,Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Mixed Paper (primarily residential); LFG recovery and electricity generation, California regulatory collection, wet conditions (k=0.06)","Mixed Paper (primarily residential), landfilled",United States,Wet conditions (k=0.06),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Mixed Recyclables; LFG recovery and electricity generation, California regulatory collection, National average conditions","Mixed Recyclables, landfilled",United States,National Average,California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Mixed Recyclables; LFG recovery and electricity generation, worst-case collection, dry conditions (k=0.02)","Mixed Recyclables, landfilled",United States,Dry conditions (k=0.02),Worst-case collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Mixed Paper (primarily residential); LFG recovery and electricity generation, worst-case collection, moderate conditions (k=0.04)","Mixed Paper (primarily residential), landfilled",United States,Moderate conditions (k=0.04),Worst-case collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Mixed Paper (primarily from offices); LFG recovery and flaring, typical collection, wet conditions (k=0.06)","Mixed Paper (primarily from offices), landfilled",United States,Wet conditions (k=0.06),Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Mixed Recyclables; LFG recovery and electricity generation, California regulatory collection, wet conditions (k=0.06)","Mixed Recyclables, landfilled",United States,Wet conditions (k=0.06),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Mixed Organics; LFG recovery and flaring, typical collection, dry conditions (k=0.02)","Mixed Organics, landfilled",United States,Dry conditions (k=0.02),Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Mixed Recyclables; LFG recovery and flaring, aggressive collection, National average conditions","Mixed Recyclables, landfilled",United States,National Average,Aggressive collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Mixed Organics; LFG recovery and electricity generation, California regulatory collection, wet conditions (k=0.06)","Mixed Organics, landfilled",United States,Wet conditions (k=0.06),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Mixed Paper (primarily residential); LFG recovery and flaring, aggressive collection, wet conditions (k=0.06)","Mixed Paper (primarily residential), landfilled",United States,Wet conditions (k=0.06),Aggressive collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Mixed Paper (primarily residential); LFG recovery and electricity generation, California regulatory collection, National average conditions","Mixed Paper (primarily residential), landfilled",United States,National Average,California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Mixed Paper (primarily from offices); LFG recovery and electricity generation, California regulatory collection, moderate conditions (k=0.04)","Mixed Paper (primarily from offices), landfilled",United States,Moderate conditions (k=0.04),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Mixed Organics; LFG recovery and electricity generation, aggressive collection, wet conditions (k=0.06)","Mixed Organics, landfilled",United States,Wet conditions (k=0.06),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Mixed Organics; LFG recovery and flaring, California regulatory collection, wet conditions (k=0.06)","Mixed Organics, landfilled",United States,Wet conditions (k=0.06),California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Mixed Paper (general); LFG recovery and electricity generation, California regulatory collection, wet conditions (k=0.06)","Mixed Paper (general), landfilled",United States,Wet conditions (k=0.06),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Mixed Paper (general); LFG recovery and electricity generation, typical collection, wet conditions (k=0.06)","Mixed Paper (general), landfilled",United States,Wet conditions (k=0.06),Typical operation,Energy production,LFG recovery,Landfilling
"MSW landfilling of Mixed Organics; LFG recovery and flaring, aggressive collection, National average conditions","Mixed Organics, landfilled",United States,National Average,Aggressive collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Mixed Paper (primarily residential); LFG recovery and flaring, California regulatory collection, National average conditions","Mixed Paper (primarily residential), landfilled",United States,National Average,California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Mixed Recyclables; National average LFG recovery, typical collection, National average conditions","Mixed Recyclables, landfilled",United States,National Average,Typical operation,National Average LFG recovery,Landfilling,NULL
"MSW landfilling of Mixed Recyclables; LFG recovery and flaring, worst-case collection, moderate conditions (k=0.04)","Mixed Recyclables, landfilled",United States,Moderate conditions (k=0.04),Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Mixed Recyclables; LFG recovery and electricity generation, aggressive collection, moderate conditions (k=0.04)","Mixed Recyclables, landfilled",United States,Moderate conditions (k=0.04),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Mixed Paper (primarily from offices); LFG recovery and flaring, California regulatory collection, National average conditions","Mixed Paper (primarily from offices), landfilled",United States,National Average,California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Mixed Paper (general); LFG recovery and electricity generation, aggressive collection, moderate conditions (k=0.04)","Mixed Paper (general), landfilled",United States,Moderate conditions (k=0.04),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Mixed Recyclables; LFG recovery and flaring, California regulatory collection, dry conditions (k=0.02)","Mixed Recyclables, landfilled",United States,Dry conditions (k=0.02),California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Mixed Recyclables; LFG recovery and electricity generation, California regulatory collection, bioreactor (k=0.12)","Mixed Recyclables, landfilled",United States,Bioreactor (k=0.12),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Mixed Organics; LFG recovery and electricity generation, aggressive collection, bioreactor (k=0.12)","Mixed Organics, landfilled",United States,Bioreactor (k=0.12),Aggressive collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Mixed Organics; LFG recovery and electricity generation, worst-case collection, moderate conditions (k=0.04)","Mixed Organics, landfilled",United States,Moderate conditions (k=0.04),Worst-case collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Mixed Recyclables; LFG recovery and electricity generation, worst-case collection, moderate conditions (k=0.04)","Mixed Recyclables, landfilled",United States,Moderate conditions (k=0.04),Worst-case collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Mixed Paper (primarily from offices); LFG recovery and flaring, typical collection, moderate conditions (k=0.04)","Mixed Paper (primarily from offices), landfilled",United States,Moderate conditions (k=0.04),Typical operation,Flaring,LFG recovery,Landfilling
"MSW landfilling of Mixed Paper (general); LFG recovery and electricity generation, California regulatory collection, bioreactor (k=0.12)","Mixed Paper (general), landfilled",United States,Bioreactor (k=0.12),California regulatory collection,Energy production,LFG recovery,Landfilling
"MSW landfilling of Mixed Paper (primarily residential); LFG recovery and flaring, worst-case collection, National average conditions","Mixed Paper (primarily residential), landfilled",United States,National Average,Worst-case collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Mixed Organics; LFG recovery and flaring, California regulatory collection, moderate conditions (k=0.04)","Mixed Organics, landfilled",United States,Moderate conditions (k=0.04),California regulatory collection,Flaring,LFG recovery,Landfilling
"MSW landfilling of Mixed Organics; National average LFG recovery, typical collection, National average conditions","Mixed Organics, landfilled",United States,National Average,Typical operation,National Average LFG recovery,Landfilling,NULL
"MSW landfilling of Mixed Recyclables; LFG recovery and flaring, aggressive collection, moderate conditions (k=0.04)","Mixed Recyclables, landfilled",United States,Moderate conditions (k=0.04),Aggressive collection,Flaring,LFG recovery,Landfilling
